127.0.0.1 - - [20/Feb/2017:19:35:34 +0100] "GET / HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:53 +0100] "GET /cadre HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/ HTTP/1.1" 200 6926
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/css/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/css/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/css/custom-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/js/bootstrap.js HTTP/1.1" 200 58290
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/js/jquery.custom.js HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/js/jquery.flexslider.js HTTP/1.1" 200 40596
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/js/jquery.prettyPhoto.js HTTP/1.1" 200 36827
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/img/Logo.png HTTP/1.1" 200 21786
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/img/gallery/exterieurBT.png HTTP/1.1" 200 611294
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/img/LogoTransparent.png HTTP/1.1" 200 6770
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/img/glyphicons-halflings.png HTTP/1.1" 200 12799
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/img/page-bg-1.jpg HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [20/Feb/2017:19:35:54 +0100] "GET /cadre/img/back-top-btn.png HTTP/1.1" 200 1790
