127.0.0.1 - - [04/Apr/2017:15:55:16 +0200] "GET / HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/ HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/css/bootstrapSite.css HTTP/1.1" 200 118128
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/css/bootstrap-responsiveSite.css HTTP/1.1" 200 20999
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/css/prettyPhoto.css HTTP/1.1" 200 10266
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/css/custom-styleS.css HTTP/1.1" 200 10457
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/js/jquery-1.8.3.js HTTP/1.1" 200 275527
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/css/flexslider.css HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/js/bootstrapSite.js HTTP/1.1" 200 56264
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/js/jquery.prettyPhoto.js HTTP/1.1" 200 36827
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/js/jquery.custom.js HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/js/jquery.flexslider.js HTTP/1.1" 200 40596
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/img/gallery/exterieurBT.png HTTP/1.1" 200 611294
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/img/LogoTransparent.png HTTP/1.1" 200 6770
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:44 +0200] "GET /cadre/img/Logo.png HTTP/1.1" 200 21786
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:45 +0200] "GET /cadre/img/page-bg-1.jpg HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:45 +0200] "GET /cadre/img/glyphicons-halflings.png HTTP/1.1" 200 12799
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:45 +0200] "GET /cadre/img/back-top-btn.png HTTP/1.1" 200 1790
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/entreprise HTTP/1.1" 200 13043
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallery/gallery-img-1-3col.jpg HTTP/1.1" 200 2463
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_entreprise/entreprise2.JPG HTTP/1.1" 200 47748
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/spie.png HTTP/1.1" 200 14086
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/sade.png HTTP/1.1" 200 37965
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/edf.png HTTP/1.1" 200 6712
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/ponticelli.png HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/neom.png HTTP/1.1" 200 5367
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/sfee.png HTTP/1.1" 200 26056
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/nordon.png HTTP/1.1" 200 20792
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/omexom.png HTTP/1.1" 200 32833
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/prezioso.png HTTP/1.1" 200 13929
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/endel.png HTTP/1.1" 200 10889
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/orys.png HTTP/1.1" 200 11667
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/bouygues.png HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/eiffage.png HTTP/1.1" 200 7897
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_client/engie.png HTTP/1.1" 200 19942
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_valeurs/disponibilite.png HTTP/1.1" 200 3487
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_valeurs/satisfaction.png HTTP/1.1" 200 4486
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_valeurs/confiance.png HTTP/1.1" 200 4272
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_valeurs/qualite.png HTTP/1.1" 200 5225
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:55:50 +0200] "GET /cadre/img/gallerie_valeurs/amelioration.png HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:24 +0200] "GET /cadre/entreprise HTTP/1.1" 200 13043
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:24 +0200] "GET /cadre/css/bootstrapSite.css HTTP/1.1" 200 118128
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:24 +0200] "GET /cadre/css/flexslider.css HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:24 +0200] "GET /cadre/js/jquery-1.8.3.js HTTP/1.1" 200 275527
0:0:0:0:0:0:0:1 - - [04/Apr/2017:15:56:24 +0200] "GET /cadre/js/bootstrapSite.js HTTP/1.1" 200 56264
